Menu,,,, precios ,,
Tortas ahogadas ,,,,,,
normales y mini,,,, normal , mini ,
Buche ,,,, $80.00 , $44.00 ,
Carne,,,, $80.00 , $44.00 ,
Pancita,,,, $80.00 , $44.00 ,
Lengua,,,, $80.00 , $44.00 ,
Pollo,,,, $80.00 , $44.00 ,
Panela,,,, $80.00 , $44.00 ,
Costilla,,,, $80.00 , $44.00 ,
Camaron,,,, $110.00 , $66.00 ,
,,,,,,
Orden de carne ,,,,,,
(mixta o surtida) acompaĖadas con frijoles y salsas.,,,,,,
Grande 400 gramos ,Incluye 10 tortillas,,, $210.00 ,,
Chica 200 gramos,Incluye 5 tortillas,,, $160.00 ,,
frijoles,Incluye 5 tortillas,,, $55.00 ,,
media orden frijol,no incluye tortillas,,, $40.00 ,,
,,,,,,
Tacos dorados ,,,,,,
Frijol y papa,,,,,,
Sencillos  ,,,, $18.00 ,,
Con Carne,,,, $40.00 ,,
Con Camaron,,,, $50.00 ,,
,,,,,,
Tacos blandos ,,,,,,
Con tortilla recién hecha ,,,,,,
Sencillos ,"de frijol, requeson,    rajas, papa",,, $24.00 ,,
Con carne de tu elección ,,,, $40.00 ,,
Tortilla extra,,,, $4.00 ,,
,,,,,,
QUESADILLAS A LA PLANCHA DE MAIZ O HARINA,,,,,,
Sencillas ,solo queso,,, $33.00 ,,
Rajas,,,, $40.00 ,,
ChampiĖones,,,, $40.00 ,,
Con la carne de tu elección,,,, $46.00 ,,
Con Cmaron,,,, $60.00 ,,
,,,,,,
ANTOJITOS MEXICANOS,,,,,,
,,,,,,
POZOLE,,,,,,
"Grande, mediano, chico",,,, gde , med ,chico
Cabeza ,,,, $105.00 , $90.00 , $80.00 
Trompa ,,,, $105.00 , $90.00 , $80.00 
Lengua,,,, $105.00 , $90.00 , $80.00 
Carnaza ,,,, $105.00 , $90.00 , $80.00 
Oreja,,,, $105.00 , $90.00 , $80.00 
Cachete ,,,, $105.00 , $90.00 , $80.00 
Carnaza de cabeza ,,,, $105.00 , $90.00 , $80.00 
Pata deshuesada ,,,, $105.00 , $90.00 , $80.00 
Surtido ,,,, $105.00 , $90.00 , $80.00 
,,,,,,
Pozole sin carne,,,, $65.00 , $60.00 , $55.00 
,,,,,,
ENCHILADAS,,,,,,
Sencillas,,,,,,
Papá,,,, $23.00 ,,
Raja,,,, $23.00 ,,
Requeson ,,,, $23.00 ,,
Frijol,,,, $23.00 ,,
Queso y cebolla,,,, $23.00 ,,
Con carne,,,,,,
Puerco,,,, $28.00 ,,
Pollo,,,, $28.00 ,,
,,,,,,
TACOS DORADOS,,,,,,
Sencillos,,,,,,
Papá,,,, $23.00 ,,
Raja,,,, $23.00 ,,
Requeson ,,,, $23.00 ,,
Frijol,,,, $23.00 ,,
,,,,,,
Carne o pollo,,,, $28.00 ,,
,,,,,,
FLAUTAS,,,,,,
Sencillas,,,, $31.00 ,,
Papá,,,, $31.00 ,,
Raja,,,, $31.00 ,,
Requeson ,,,, $31.00 ,,
Frijol,,,, $31.00 ,,
,,,,,,
Carne o pollo,,,, $36.00 ,,
,,,,,,
SOPES,,,,,,
Sencillos,,,,,,
Papá,,,, $23.00 ,,
Raja,,,, $23.00 ,,
Requeson ,,,, $23.00 ,,
Frijol,,,, $23.00 ,,
,,,,,,
Carne o pollo,,,, $28.00 ,,
,,,,,,
QUESADILLAS FRITAS,,,,,,
Sencillas,,,,,,
Papá,,,, $52.00 ,,
Raja,,,, $52.00 ,,
Requeson ,,,, $52.00 ,,
Frijol,,,, $52.00 ,,
,,,,,,
"Carne, champiĖones o pollo",,,, $62.00 ,,
Camarón,,,, $80.00 ,,
,,,,,,
TOSTADAS,,,, gde , chica ,
"Sencilla (grande, chica)",,,, $28.00 , $22.00 ,
Pollo,,,, $60.00 ,,
Pata,,,, $60.00 ,,
Cueritos,,,, $55.00 ,,
Carnitas,,,, $60.00 ,,
"Pata deshuesada (grande, chica)",,,, $80.00 , $55.00 ,
Carne de pierna deshebrada,,,, $65.00 ,,
,,,,,,
EXTRAS,,,,,,
Pata pieza,,,, $30.00 ,,
Pata preparada,,,, $40.00 ,,
Pata deshuesada ,,,, $45.00 ,,
,,,,,,
Tostada pieza,,,,,,
"Grande, chica",,,,,,
,,,,,,
DESAYUNOS,,,,,,
,,,,,,
HOT CAKES,,,,,,
1 pza dulce ,,,,,,
,,,,,,
Naturales,,,,,,
Con la receta clásica de casa,,,,,,
3 pzs,,,,,,
,,,,,,
Salados (3pzs),,,,,,
AcompaĖados con jamón y/o tocino ,,,,,,
,,,,,,
Dulces (3pzs),,,,,,
"BaĖados de Cajeta, Nutella o Lechera",,,,,,
Con un toque de crema chantilly y nuez,,,,,,
,,,,,,
"Extra lluvia de kises, lunetas, coco, pasas, cereal, chocolate derretido",,,,,,
,,,,,,
CREPAS ,,,,,,
,,,,,,
Saladas (2pzs),,,,,,
Con ingredientes de tu elección ,,,,,,
"Jamón, champiĖones, rajas, queso manchego, salami, ",,,,,,
,,,,,,
Camaron,,,,,,
Con los ingredientes de tu elección ,,,,,,
Dulces (2pzs),,,,,,
"Lechera, Nutella, Cajeta, Chocolate derretido ",,,,,,
,,,,,,
"Extra lluvia de kises, lunetas, coco, pasas, cereal",,,,,,
,,,,,,
Extra Fruta,,,,,,
,,,,,,
HUEVOS AL GUSTO ,,,,,,
Estrellados o revueltos AcompaĖados con frijoles ,,,,,,
,,,,,,
"Revueltos con jamón (cerdo o pavo) queso, tocino, chorizo, champiĖones, a la mexicana, AcompaĖados con frijoles ",,,,,,
,,,,,,
Divorciados ,,,,,,
Con salsa verde y roja,,,,,,
,,,,,,
"Huevos rancheros estrellados y montados sobre una tortilla, baĖados con su salsa ranchera",,,,,,
,,,,,,
Huevos con vegetales,,,,,,
,,,,,,
OMELETS,,,,,,
"Queso manchego, jamón, tocino, chorizo,champiĖones, vegetales, rajas poblanas",,,,,,
,,,,,,
CHILAQUILES ,,,,,,
Verdes o rojos,,,,,,
AcompaĖados de frijoles y queso,,,,,,
,,,,,,
Chilaquiles habanero (muy picosos) AcompaĖados de frijoles y queso ,,,,,,
,,,,,,
Chilaquiles verdes o rojos ,,,,,,
Con pollo o carne deshebrada,,,,,,
 AcompaĖados de frijoles y queso,,,,,,
,,,,,,
MOLLETES ,,,,,,
De frijoles con queso gratinado ,,,,,,
,,,,,,
Mollete de Chilaquiles con queso gratinado ,,,,,,
,,,,,,
Mollete con jamón o chorizo y queso gratinado,,,,,,
,,,,,,
Mollete con bistec  y queso gratinado ,,,,,,
,,,,,,
Mollete dulce,,,,,,
"Cajeta, mermelada, Lechera",,,,,,
,,,,,,
TRADICIONALES ,,,,,,
,,,,,,
"Panela asada, baĖada en salsa y acompaĖada con frijoles y queso ",,,,,,
,,,,,,
Enchiladas suizas (3 pzs),,,,,,
Naturales ,,,,,,
,,,,,,
Enfrijoladas (3pzs),,,,,,
Naturales Con queso y crema ,,,,,,
Con pollo o Panela,,,,,,
,,,,,,
CARNES,,,,,,
,,,,,,
Carne con chile,,,,,,
Costillas de cerdo,,,,,,
Lengua en salsa,,,,,,
,,,,,,
 LONCHES,,,,,,
,,,,,,
Jamon,,,,,,
Chilaquiles,,,,,,
Pierna,,,,,,
Panela,,,,,,
,,,,,,
,,,,,,